sample_id,pcr_ct,method
"8W997FFR47EA,8X88SXJJ2MRE,459XZAJ2XWMB,8UXDGSQ5KFF2",27.5,capture
"7EHWPXGU6AEC,6ATPWYE2KFL2,7P5TC5T7KPKC,4TA2RZE9A876",27.6,capture
"6K7LUQ5UTMRD,3VV8XM4H6VA0,7FQZUEVKKXLC,9PPUNQ4YLC36",27.6,capture
"5CZKDABK9JS9,7BN3X4U3R9TE,8TBNE6DSG881,7B83ZM4W8FH6",28.2,capture
"6DRQE4F9XQDF,5T9QNE9CEQB4,34DLHZF4KN61,4JG4BQU3VU3D",29.4,capture
"39YJ9A59K8X3,2TPYF5W9L3H9,7SLNUJKQ6H44,V341144495",29.6,capture
"9KSLZ9UB8QY5,62PUGTSS6EJ6,6GGRTH5VUAED,9XGPMB9YKQX4",31.7,capture
"5EQRVGZ47ZD0,7AQJA3KH5H75,6JMHK6QNKCBD,89Q7MP7P3U33",32.3,capture
"48S9UF76HXDB,27X4BC457TZF,9DKQDXGPUPA7,48ES66FVNTZ4",32.5,capture
"7X8VXVKX3WB7,8ELXPFJGH5XB,8T7RRNTHLSA1,4ZJRF7MFQTU5",32.9,capture
"7LT4XD9B52WB,7RZYD7LZ4M26,6SPPU56ZGVU2,7DYP4LRMBR77",33.3,capture
"8Q2NJKZSLT8B,8XSKSAUPBL80,3NG2UQV8HY35,4M22ZP32TM22",33.9,capture
"2CPWJZBHPDRA,55N5N4EHUKUC,9RA4NS4LWS7C,5U99E9CJRBD4",34,capture
"6SA2CJ7KDQ97,6BP5B4CMS55C,3P6HLJ2CYZK7,35DS7UMGY692",34.1,capture
"6RGYQK2J5D6B,3ZCJNWFQLQND,5R4SZC77VEQ5,6WYYCF35PYEF",34.3,capture
"39R9GU38MBW6,2U9HMC3482R7,48EV2XF62MF8,6W88HAWCZ8D2",34.4,capture
"48Q95NH2RPZ5,5SMXB9W5HE23,3QS29UURJHL0,6ACU26RWDWZ8",34.8,capture
"69239BXJQG4E,332S2DHXPZD8,7RYBRW2TYYPA,8WA2VMU3V7F9",35.2,capture
"7XBAFD9XFYF9,23QBWDUKC22C,8GCKKPWC66YC,8Y3UJE6PMKSD",35.6,capture
"29V6HY9Y4YGF,45HEZBY96F76,7NFQWWPM2FQ3,2PSBBBJZYWAA",36.5,capture
"4METL3M43MG5,3ENB2J278EU0,4MGVDYXB9TTD,4FFUHYV26PQ5",36.8,capture
"3K5LVDNWYACB,23M877C6KD2D,2E8GXTSCXM86,79F3U8F2C2M3",21.7,shotgun
"3FNNVHKK8KHE,62GA9CYNEQ25,6HJHEVCE6PH6,7EZDVQAHXGK2",21.7,shotgun
"9HLU9VLHRN3A,2U229L2N4MBB,4KNXA9G5Q7D5,8BA6BXT62WG1",22.8,shotgun
"8TZ9QQUGQ568,48K6SSQHGJV8,2NNSRXWQGB45,222DSQNTUSM6",23.5,shotgun
"4UNQSVTD9EB0,2EARWBTGTNR0,86XBEB8B8U36,97TGE786YH43",23.5,shotgun
"7Y6GB4PMQQ9B,4RDSEZVKENMD,38H8XKS5A7Y8,649U7M6Q6GYE",24.1,shotgun
"9Q2VY43KYCBE,9DHU8NJJBE6C,5SSDHQMJQ5HA,689LFTCCXS8A",24.2,shotgun
"9N6RSC7GTYT2,3HFSJRUH3Q41,4GXLLHB5FQB4,24M3SUQNSFTF",24.4,shotgun
"5K3LSMJTAT62,73VBQSVYMWW6,6CUK22PFK4Y7,7UGCR9SN55CA",24.8,shotgun
"6VS83K399CF4,52JQJB7UDYL3,8Z9P8F8JL3H8,2D6E9GEPRES5",24.8,shotgun
"5Q6G7JBXW2KC,7VA3335FBWGE,8QFY9BTU8JD9,6MQQ4QSBLUH3",25.1,shotgun
"9XJ2QHTGJXWF,6SJY5AW498RC,5QWS5Q9WQYH9,6AMJWBVRZXW3",25.5,capture
"97K77MPFEGAB,2PMS3SEH7T42,3RZY2RDGHWV9,3QCCHDGB4WGD",25.6,capture
"3QTQHN56HUMB,8YDH74TCA4CC,8PK73C49Y391,6GFEJSPGUFQ0",25.8,capture
"9M2XHRZUC4D3,3EGQBAERTY88,87NRK7THSMD3,49J3692U3LZB",25.9,capture
"4AKQ8VPDEXW7,93CU4DN7ZHLF,8N5EXQJ6RPCB,5BJKA5DXWYYC",25.9,capture
"9EPQHDBGNPH0,8Y3LM2UGAVG3,8NMDZNTJMXUF,2S7Y5CJEG46F",26.7,capture
"8SCDDJD7FL55,2GFQC3LKQFF9,69X9X3X7BLAB,4T2ZRCXDTZFE",27.1,capture
"9F8X7FDYBWFE,3EWUJB63PG46,548K6CXBFTPE,3MT8NECVFHH1",27.2,capture
"9J4AG79BNDXC,4N9DP53BDCS9,7AHTME26VSY4,9EPHDKV2BYD3",27.4,capture
"34HJS68YRNR9,7WAVLVN56D30,9BRM2QDHKUJ7,5KHAUET5WRT4",27.5,capture
"6HDN8M3M8L63,24D5ULU7JVDB,4C4YU8ZEWAD3,7XF4GBNELN48",27.8,capture
"4T5HZSVFW2B2,8ET8HFDCN7D7,88C7B85MXQFC,4RRKFVJ9HB91",27.9,capture
"2CNJCGQ2AWP6,9JD55H6E9R4B,7PGY6UWBURR5,896U7TMENV6E",28.1,capture
"3LXXK5AEY9L5,26C8HA7XFZC8,35GNZGBHQ5VE,4T3HCE3WLHV1",28.7,capture
"7DLNCCEKTXNA,532ZJ45PY87C,5D7VPPFC5AYC,2Q9Q88DCS6W2",28.9,capture
"9Y4ZN9MRD3M1,5N4E33ERTKQ1,5C9B5MAE4F28,5TYWWWMMLVM8",29,capture
"2JXFSGAETAP9,7BUHHD96ZUZ8,33DU7LEB2AE9,6TAEQ9UWJ260",29.1,capture
"8WRS8W5HRYJ0,6XETZDK3RWC1,3XFSVHSCCG75,3Z5ZN5K39JJ8",29.5,capture
"7WRLNCBSEHHF,2RU8BX2VZLWC,4X2LKHQKRUK4,7Q8RBT6Q6HF1",29.7,capture
"3FGFE26A7SVE,8DAXG6LMHGY3,955A7X567YU2,8E8AKGAA3978",30.8,capture
"2Z57HHV39SD8,869NEDEF9VMF,8HZKXKWU6ZM3,75WYP89ERUY1",31.2,capture
"3SVW8MANZ6PB,87JW8S7YKQ48,5WLFHQ9RZXPF,7GP6GNFWZ354",31.4,capture
"2PQ5HGJB4EL3,7ZR83ESQX4RF,29WMSTQ3XMCD,23BABRXZ85E2",31.6,capture
"97V29ZWLYSED,9LEFUXMD8FZ0,5QET2UNLSKQ7,42S2VBRE5CR8",32.3,capture
"7FL3F3G9YW89,3PXMCTAZWS64,7R2JH9JGNK21,972YZFBQ9JK1",33.4,capture
"643YEJ67C35E,45AGEEAZY6TD,3TLY7RHULG40,5VVAYJEKXZLA",34.9,capture
"6NRWLMSAS5V1,38AQPY7TBYBD,5732JYKQA82E,4HSDD69J9R93",36.1,capture
"7X932A53W2HA,64SDFLDBRXE7,9YNXUBQGMAEC,7GEPZHCKKUY1",36.3,capture
"3DHGQ86HTM7E,9QXLZ8KHHH9C,6UQ572K3WMQ8,54H4UUKK72SA",17.3,shotgun
"2KMETX294ACF,5NACWFF2FDFF,9FZSYQLN72D7,8VVRDW4295QF",18.5,shotgun
"9KAC2JUN4YHE,5G5AFRPXMM8E,8XFKSYA9DNEB,4A9HMKGTTBAB",20.8,shotgun
"2NJDHTJ6AG63,86928YYAG238,7HBZQEPBJR30,66V9T4V9ZGND",21.7,shotgun
"4QAEAGV89Z5B,4V3U2HU2A9HC,66YF2K9D2X6B,5YQ2PJWTLFY6",23.4,shotgun
"966377WKQ995,4CTXY9SEHDL1,4CKNUM633VLA,77DCWEVKK2M0",25.2,shotgun
"5VSG8VQNVYRD,2SGGPNESEZFE,2AJCD94NADX6,4A5EEC3SA7GD",25.5,shotgun
"9KCUM24K4LZ9,584ERQMYDB8A,2ZDX4RTB4RK5,6PN5422SUHX5",26.1,capture
"7DVVMHY35PN4,2M4N4CDXLH32,5RKUK3CTE3NF,3PNKRU2L8U44",26.4,capture
"6GN9LF53S7B0,6WHXYBXQN7FE,87Y8X9ZEQZ41,3M8WRCJYBRT2",26.5,capture
"8GM23K8F56M5,46KW4S9AU4WA,7ASRG3BEVZW3,6T3AYKXZ8BR8",27.9,capture
"4R7RWCWM3NW8,35G6A5UFA271,8HJULQQZVGF1,9DHCCJTBWFP3",28.3,capture
"686CZKDH246E,3J9U7MQUSWD5,6YFQ8HWXQQ24,65A52QEZJ6LA",28.3,capture
"2GCJFZG5M9Q7,43WQTGHDPSWE,6Y9CJUXGJ82B,5NFT5X2SXJ27",28.5,capture
"8LFLHXR7S890,584GYYRU3ME3,33GTSWFM5TAC,93H9NA2QNC73",29.8,capture
"8LYHAD7GD9TA,5UFTBV2S6QQ3,6UKRG4UPWYC6,4LYECGRZSGPC",29.9,capture
"5BYXAVEPJJL7,3PQJ7D7B8VFE,78XYE7PD6QWD,3ZFGC4J6X32F",31.1,capture
"85LREVKRYNQ9,8N6J28NGE7C7,9LZAN53XS293,22RJ6J8C9QKB",33.4,capture
"5J7W22HK5EN6,7QYAT3K5EGHD,662FCDT9S2U1,7EARQ8UZMEEF",33.9,capture
"7U8T5KUV83H4,5QBKQMUCYHYF,7KTLXE3KU9R5,8KZXX2BSYEA5",35.2,capture
"54RJRGARD2A5,4L33VDEJD7VB,64ABSYGZ9QD1,9GA7LNMKWPR0",36.7,capture
"4J9GWL57P3TE,3J8RLUVSFT98,7RGJQGX9L8DE,2WTUNGC6LXA2",21.8,shotgun
"274SWYQAK781,6R77MV2QKFK1,8QWEATDLQHDA,45UWLCL6ALKE",21.9,shotgun
"27YZNMGQGEV2,3NZAXXLZCP59,9934AXXRE4L3,86HTCRYYCU6E",23.7,shotgun
"283RY8N6DDE4,48HGPPQUBFXB,9M4BAB886M68,2RSCZR4897S4",24.9,shotgun
"3U8K5NZ9TTR2,5C2TPPJQAC20,522MH768D6M0,5T66NXSVJGAA",24.9,shotgun
"5VEVZXLNQ6C6,4ESBFZUYMPP1,5H6W8JBMEN42,8397UUQLJUQ3",25.7,capture
"5W662MNKGNG7,23BFYNDJ7PR7,92N56MTLT2QA,846FSHW4PXBC",25.8,capture
"4AA58YXHH843,7ANXRJGRAJM6,6PXMDTRG3SVF,5GYEK9KU6L59",26.7,capture
"7EBA6UNU6TP5,3VLXUAGSEGDD,9KGDKFMFSZ41,5WSJ2GC7ABA7",26.8,capture
"9Y9MY7NENF65,8QQSRR89WCGF,253EVBXETYEE,3TMQM8DD9W4B",26.8,capture
"262RS4N75GD9,4CCGE7YBM4YB,83HKDD2LZWPC,5P9PN9JCMHK2",27.2,capture
"9GC54AUGG6AD,4KT3JR2CMBG7,8237Z7EEUXJ0,9W2KCTJBZXY9",27.6,capture
"4CABX4LJUDT8,7RAV5KEQ84F9,2WYPHDU55LC1,8JWHJXSRYHX5",27.8,capture
"3LT24UE7QD2C,664B23HRNRN3,7DT2HLZZX7FA,72GCBHYT8N7B",28.3,capture
"5RZZ936ET9R0,4HKXFS47KQFF,2DRP9JCC5A78,9A372ZGP57TB",28.4,capture
"2R4V5E9BL4UF,6JNH5QKG55ZF,2FNBPTTVBVC8,9DWC65N7G3FE",28.6,capture
"6BC7X2RACCR4,4XHQ5Z96RGVB,7JNHAH4LFT62,3P2HMVBAA3W5",28.8,capture
"4MFLGYNV4656,7MRPKPP495XE,73NWTJEL5GTD,9TLDGNAV6562",29.7,capture
"5B2VCP6NP9QF,9525VKZ73YRF,888FNFGCM4GA,8DPVREH7H4H6",29.8,capture
"2A6FLF6QZ7H7,3T2CYJ57F24A,8K4HZ5CW4W92,2MJ2KPP5DLHE",30.4,capture
"9PVMK7QDUEU0,4HYK6F23STXA,243U63AXXN84,3LVHL5SPFFE6",30.5,capture
"7R7E3XEQEND3,4WDFLJFG844A,3DK9Z49UD582,3YX5RFDB8PCA",30.8,capture
"2LX5HESMUNDB,4Y5RZRN87Q66,9CJ336X2ZBY4,5WPB68NNVGP4",31.9,capture
"3Z9B87KTBCYA,8ZGAT4P62AF3,6QH3Q44VQE2D,6ZURCLBJYS89",32,capture
"6NQ4RDG4K552,54SFWZXYA8RC,4PLTS27QEXLA,98SQCTRUETA0",32.3,capture
"4DALZ8EZF290,9HPYZ7FGFS5E,9HUR73D66X38,4GTYMG94GPMD",32.5,capture
"97SFJZWR7JHC,8NUEGTLJX75E,9E8R7979L442,87KCZYWFZP4D",32.7,capture
"3EHRMSUFPFRD,3RWE732M9XF3,6E2MFBAP7FJ3,2NUGT8CN2G44",33,capture
"8WWAJYLEQDB8,6QZJAGUP5WXA,9LAMDVF2PH2F,2KHPVG6WMXEB",33.1,capture
"3XZFYK5QK6V2,6SBZZLS6UFQF,8PHZ7EGQR8RD,8ZYFYGFFL863",33.4,capture
"3TUUHP5G5TN5,89PNYXGPPGSC,2THQVZN2KHAB,6Q8MAHQUH69E",34,capture
"2ECVSF6DNAFD,3WY9HNUDQNS5,8EAR8NTZU895,6VYYSN38JHLF",36.5,capture
"7CKKMM8CDEXC,2ZSES3M2DRTB,74PSCPZ67YS6,3H2EUU3BYWA6",36.8,capture
"4RWG568SAGH5,8QXYV53CNQA7,4VVKY2HWLH9C,8JMBX4YUA6RB",37,capture
"8EYQAGXLCJDA,7SBW92A5P35E,9S972YPKE635,9XQ6RACGSDE2",39.7,capture
"4FLRSFQMC2M3,2XFT4WLTMTWD,9TG2Q2Z4H93B,6KC5VTRYEWX4",14.6,shotgun
"479F8DTNQEJ2,47DFDYXKVKLE,5WKDRU7MGXLA,9QSUU5QXCN4E",16.9,shotgun
"6AWS66QDRTRD,6L6S6VDFRBJ4,97DTAREPEZK6,8UVFMQEQ92P6",18,shotgun
"6869S3GSRVSB,6DKW74ZAP8A1,2E2X5JEUUEN8,9F7ESC6VZ34C",18.2,shotgun
"799FTQBKLQBA,7VAMHZP3Y8L0,9FXDCEZ7DUHD,5TS9MGFA8WJC",18.8,shotgun
"9D5QUSMVEGZ0,8S9R78P5UGBA,6CVEDKKR9LY4,5F9GB75TC9FF",18.8,shotgun
"4JLTATZN2HAA,8EYMCC2THF75,98W42552H2XC,5SHLCKU3T3G3",19.1,shotgun
"23MFG79LPJR5,6CJHZHCT6436,6SUTU4JL6WH8,85FRK4WB6Q49",19.2,shotgun
"5242YSR8DUG7,39FRFRDNY6BA,7HXFAC6V4PVA,5AL3JZ9Q9TQE",20.3,shotgun
"5ZA23DEBDTP7,99DS72LBSKD0,3PH4496LYB83,3M43QTVTGSC6",20.4,shotgun
"2P7TZ6YW6F44,9JMZ6HA5AQ73,8JK6LRVLQRZ7,9LRSS6BRRHR8",20.7,shotgun
"4SH68WM8VS69,2FXG3FWB2QJ5,3LU87XVFXV80,3BDFLNS5FW77",20.7,shotgun
"5AR6YZUTD9V7,3KPHRQ7R8UE0,6QKCHQ8JPP56,66W93G24US79",21.2,shotgun
"364DDB2CKK9C,8XBRBB5L9686,78D9T4J9SJPC,3UYWJY72ECU8",22.9,shotgun
"7QEDGSVAR9D0,7UCF4DC7R8D0,74PZ292JXGU4,2UXEJQ8PQAAA",23.6,shotgun
"9QMABABULBCA,9VCDNUXA4L60,2F5CCUJ6PTDD,6TPBC4TLAUDC",24.3,shotgun
"2WKLG2V7XFU2,86LE6UFBVNC8,2G36DG4SY3VB,27WWECKGFAJF",24.5,shotgun
"48PDFBLNZVPA,6UFYGKBVP522,9P4AFHDKZMQ3,9DSWV6AK2Q62",24.8,shotgun
"5VK3KB9QWDBE,9H4SM9Z5JB3F,3FQA4NDUURS5,4YZNEW3DX2CF",25.3,capture
"77QDSSJ7SUN9,5ENGPYWGSWVF,3X2VNTNAWZJ8,7Z3WEDHX2W4D",25.7,capture
"77W9FY6U7QG4,5SH8QRN8XEF9,4YV2JVM2HZC4,6M6QHK9PARGF",25.9,capture
"6YYHU59QBAK2,6YA9QA64CS51,6CU7AHM7LDT3,9R7N7MTMPAY6",26.9,capture
"9XYL4DVE6Y2C,2JHTCATGL4T2,4NNNU9KA87LA,3S4EQPY2MKW7",28,capture
"99RTFPXE8526,4ZL9GKFMB7HC,4PMKUVMNU6JC,6E2VGQCZRK32",28.1,capture
"75YGP8WV6AH8,98XLDXEW4VN1,4SFBP8MB6CV7,8SRZJ4G283W8",28.3,capture
"86963NK69695,7CSDVHPQPEMA,4J6JF7RPTL44,2VJQ88F4VTYE",28.4,capture
"2KG7T72VXTZ6,3RPSRJ38TFS3,9KWYDXAMNVTB,6V7E8TKNMBG6",30,capture
"6MYRRE4XLTV3,3NJBEJY2P25D,9D9XXERWSY92,2P7RGJ2UPES0",30.4,capture
"8BVQAHCDVDGC,78KA4TNYBCBA,3RVZYVTQAHD4,3VWGT7RXP438",30.7,capture
"52FZ4YDDUPU2,2PMZ467D6WW7,43TXTZHYAMP8,33G8GMKAA3HB",31.2,capture
"8NATQ4PTJK55,2U2J6A8YXVR2,4C8S4Z3S7LE4,9T8AWK2WXTEF",31.3,capture
"9SQ6ZSC3ZGFB,2H4WFWB999EA,5RKRW299F7G8,3GRNSSFJRD2F",32.9,capture
"3HV4XATWUXYE,8H82K3UP3566,5MBUHV27VPTE,2M6NG8MW6SD1",33.9,capture
"3WABBUVRAPLD,6LSBLQFTGCH6,6UFZZJ9Q6GT8,3VC7L7VUZ22F",33.9,capture
"92247ZZQNUMF,9SCZ52QXVMQ4,5AWK87E7Z67C,8UENYCBXW3U5",34.9,capture
"7DELY336XX61,9KLLW3C2ME94,3LDVRNQ4KN3D,7R3F8Q5A93R9",35.2,capture
"7HFB7QRJJ2C3,8QVPCQV7BWRE,4W22UBRYZND9,9K3CE8NTFBM0",35.7,capture
"79RFSCN6NKXA,8YDR4F74ZMND,6MQ32CMW5F94,9DTSADTWSXP6",35.8,capture
"5NWLSTG8GW29,6ZYZE8MHL3Y5,7WQ39AM5BF92,6FQCR3F8SAXD",36.2,capture
"26R88XYRAYQ4,2KRCTP86QV89,5FW5DPYFUA84,9TEQ6TVF29W2",36.9,capture
"7G4YCSRPRRM0,4Q75VRDKSF32,8QHUS8NDAT2F,7Q2R9BX7ECC9",18.4,shotgun
"8DZ7BJCMLC54,3H74W455WP5C,4DUUM55THTFF,4YN5Z3U5HL8B",18.7,shotgun
"3NU6QQB94UHA,826CHMLMXHAD,925S7ZZCPMAA,7ULWMST5GQTF",18.8,shotgun
"7MBQH388JG5A,4KGB8WPF5QYD,3X6UDT3YYCVE,39Q2XNJUEAYC",19.5,shotgun
"8RKEA8F6KWQ2,8WR3R46HK2LA,88E24QKHYBMC,8THR2FZK86Y1",19.7,shotgun
"7RKMNKT539XA,52ALKRFU5JA4,8UWVJN6TGHUC,7M3WWZYR9693",20.1,shotgun
"48YGBZ2L22FB,2GGA6KWSQYU0,6LF27JG42VC2,4RLYWLSN5VWB",21.9,shotgun
"2NFHADFHPJNA,2GCCCABMHLZB,9L7UYWJ3JD94,4BZJ2TETR6D4",22.1,shotgun
"48FBLUYEJBL9,4XL7LY5LUWEE,6PMQ8PFLVB5A,4TSR58J8MARE",22.2,shotgun
"92BMHLC5NFME,5YS5EJ5TKSAD,8YBD8HWCSWSF,75MDSUMNVTS2",22.3,shotgun
"5BKP3V5VR7DD,7XFA5BSLD387,8LFN68LQPGW1,3YDFADGS2SVE",22.3,shotgun
"4KQU3SB2A946,7Q628985UXU7,6XFQVHP678W3,9AEWVVX9BYGF",22.4,shotgun
"4N8YYT2XAAE2,69KW2TG9LQ97,7Y3ZUNT6NDJ2,66MZBYP4YPZ9",22.6,shotgun
"68WFZC3HSZHC,38S2AAWDSZX2,4Q52PPEH4E73,7DTRWNRHWEUD",22.9,shotgun
"82PEUP6E4MJ6,6KPFEPDGQTTD,795SCNLL86JA,3J3UBK5YTQFD",23.4,shotgun
"2BHWRWBTEGQ8,6CZF78ZBMBL2,2P3MQLBRLFEF,3YT4X5KQVSM4",23.5,shotgun
"48BG75SQHZW5,5YBB59JJXGQ7,5JUZ9GX3LUNC,87779QA7DK4C",23.8,shotgun
"4YWCX7HR9NUF,7FGDGBVTMY29,242MF4GGLLFF,72BFS7WG7GTC",23.9,shotgun
"5PWMTCES2GRB,69P8JTXE66C7,9YXD4XRZNPWE,4LPVVMST8SU5",24.1,shotgun
"3TE9BXMF3WEA,7UTCFAULJUY9,2FKDN8ASBZWF,7EPLWSCCH5F6",24.4,shotgun
"4AD5HJXRBJ2E,2KVRPFF3H2KE,54S23ATKAJD8,4WQTE7NX7T77",25.4,capture
"3RHESAX24T60,3A4KVMWQ4WYF,7JYEPNSTSPFE,37ENRBGG2AU9",25.8,capture
"3LJER6QU9TG0,265HSXK3M988,2YMLM96KAZT0,6XSDAKRN8KWA",26.5,capture
"8CBRRPXSECX6,3LLVEJNXN567,49A7LC9SBD82,5PFJVF59W6KD",26.6,capture
"74PQZR7RRHWB,5PF9744RUPT7,5FBG5FQKVMN7,4QZ7A84R397E",26.8,capture
"4MMGNDHUV7R7,3U63RTVR46J1,9GSYL6EJAAW5,8FGJXUZNYAN5",26.8,capture
"6YXR4UAPZ5H1,7XH6JZJA6598,6CJ7QLZHPFM2,8WSFVFU9QLQA",26.9,capture
"34V45ALZZTC2,86XK2ME62VMA,663XS56RBRF6,3XKZLJN38NL7",27.4,capture
"97823RQQQTBA,9Z5CXQDX5NDE,9DCWPWATXQS9,5YQBV9N9YEK4",27.7,capture
"77BF43G7TRYA,8XZ6M36HGAD2,9DCK7E78E8WF,3WKDTYLN2VPA",27.9,capture
"4X7T5CHNLJDC,9ELYT5VFDKCB,49DELXPQZ5SF,4RKPDCRYUAEE",28.5,capture
"6G3DDGYUS221,3ZUJ4K2UNTV8,9XCM4BAE4VT8,3UZEZBFJGFGD",28.8,capture
"3YJWTTUUAD74,4QQND6TVXZDE,6FV25JTB2JW0,46JXFMJSE499",29.5,capture
"5NPB368Q2BW0,9ZCWSB85ZFP2,7BP447BUHBDA,3WE5V833J526",30.4,capture
"3G8QBSGQGUF7,8S8YRQU46DG5,3HF9RQ977J56,6NDSWZNBJ6L8",31.7,capture
"4EYD393Z2RMA,299ZCPYBG363,5RLCYYA3WP27,29KKAWNGKZK0",32.9,capture
"3RHBHRC9UBM9,255P7ZV9UQD8,4337LAWB7LK5,42TLM7VQUNJ9",39,capture
"78YYVAE6BXN3,4YJMZ8DSH72D,6ZEVDR4ZFAS5,6K5AEXRM4VL5",39.4,capture
"5NBXWYEV2LME,4U3VANN3W4T6,4F23E9FDVRY6,3L8NZNN49HC5",18.9,shotgun
"7XXZSUSM75Y0,9QQRFLX9SYPF,83SMX3Q56GEF,5UU56SXAK9K2",19.2,shotgun
"88LDLSW5PQMC,3VVX8SFK329B,3YD9394CRLX8,4CEJCXYCWEQA",20.6,shotgun
"4ZHMZD2XX22E,2LW56NS76FMB,6BQFJG3F2WFD,57AYVY2YBY9B",21.6,shotgun
"93LNCKHXZD94,9CYJP5UM8J67,2ZGWP9FHX6KA,6T6JMCQB5EA5",22.6,shotgun
"3CPQYKEWVBCE,2URMWAR54DP4,56ZEAM7Z6PC5,3RP2ZVY2FXWF",23.5,shotgun
"3LBVFNEVNZBB,87BLB2DLXMMA,9NCSQARAWKJD,5X7DAW2XE7X8",23.7,shotgun
"2U682T49PGP9,5KD7RW9H4K94,5MFVX4Y5B7D7,9NJEMA6Y3PA4",23.8,shotgun
"87L4W58KP8EA,5DG9K6S7ULFC,8KCKD89WFV4A,9MYFJQRWNZWE",23.9,shotgun
"67SSL5VCLTMC,9EWJZ4N2QLP0,4PS6J4XRQW81,82LXEPWMZXB7",24,shotgun
"226UYM2DZ4HE,2G9Z849CAFDF,4C9A8NHLCWGA,6WM979K5ZSS4",24.1,shotgun
"3PYXN349SVF2,6ELX2LZL7ZH2,2BPRA2M8TAA6,5ABKYGNZ4UK3",25.2,capture
"6EPH8BXRMSC2,542ZA2MFVJRF,86MGS9C29XNC,2MSJLPJ4GJ27",25.6,capture
"5NXPWKBSQGB0,7T6BK7UKTWS6,7J92F5FFGZ5C,9GZQTTUXZHX0",28.7,capture
"2EWJK5MQUQ6B,5G2K83M595RD,2YLS7VDCBS42,6S33D73NKXV5",33.9,capture
"5RRLEX7VKP78,4YZ5CRF6AF3C,7QP5J8M7DV6A,6NTWT782YPC1",34,capture
"753R4H89Y59F,6M2ZSNMTS3XE,4YY85K5RMN6A,76DCUJ3JSZAD",34.2,capture
"9GFZ7KVPMRE8,36MGTJBJ9TE5,6MPWEC5PRE2D,46QLSVREZG70",37.1,capture
"73N95ZKBU6BD,9GP4Y4AV5B99,91,8Y6SM6AHTLA8",39,capture